PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,1429,769,577,53.813855843247026,40.3778866340098
200,1682,1522,1228,90.48751486325803,73.00832342449465
300,3009,2622,2204,87.13858424725822,73.24692588899967
400,1012,934,570,92.29249011857708,56.32411067193676
500,1830,1531,1144,83.66120218579235,62.51366120218579
600,2163,1887,1621,87.23994452149792,74.9422098936662
700,2622,2061,2061,78.604118993135,78.604118993135
801,1953,1953,1750,100.0,89.6057347670251
802,1845,1798,1442,97.45257452574526,78.15718157181571
901,1518,1518,1120,100.0,73.78129117259552
902,2379,2135,1655,89.74358974358975,69.56704497688105
903,2799,2441,1925,87.20971775634155,68.77456234369419
1000,2474,2213,2003,89.45028294260308,80.96200485044463
1100,2417,2315,1426,95.77989242863053,58.99875879189077
1200,3316,3045,2259,91.82750301568154,68.124246079614
1300,1414,848,634,59.971711456859964,44.837340876944836
1400,2943,2093,1625,71.11790689772342,55.21576622494053
1500,2052,1850,1455,90.15594541910332,70.90643274853801
1600,3011,2304,1461,76.5194287612089,48.522085685818666
1701,1580,1455,762,92.08860759493672,48.22784810126583
1702,993,993,742,100.0,74.72306143001008
1703,1502,1299,964,86.48468708388815,64.18109187749667
1801,1471,1206,1055,81.98504418762747,71.7199184228416
1802,898,898,692,100.0,77.06013363028953
1803,1839,1448,807,78.7384448069603,43.882544861337685
1804,2326,2137,1711,91.87446259673258,73.5597592433362
1805,653,653,653,100.0,100.0
1806,719,719,671,100.0,93.3240611961057
1807,2284,2258,1945,98.861646234676,85.15761821366024
1900,1456,1404,1007,96.42857142857143,69.16208791208791
2001,2293,2128,1580,92.80418665503707,68.90536415176625
2002,2004,1938,1610,96.7065868263473,80.33932135728543
2101,1591,1591,894,100.0,56.19107479572596
2102,1963,1357,1252,69.12888436067244,63.779928680590935
2103,2140,2092,1320,97.75700934579439,61.6822429906542
2201,2649,2492,1866,94.07323518308796,70.44167610419026
2202,1949,1714,1310,87.9425346331452,67.2139558748076
2300,3885,3432,2356,88.33976833976834,60.643500643500644
2400,2969,1737,1190,58.50454698551702,40.08083529808017
2501,2143,1861,1444,86.84087727484834,67.38217452169856
2502,1823,1556,867,85.35381239714755,47.55896873285793
2600,1365,791,467,57.948717948717956,34.21245421245421
2700,2261,1842,967,81.46837682441398,42.7686864219372
2801,830,782,546,94.21686746987952,65.78313253012048
2802,1544,1475,653,95.53108808290155,42.29274611398964
2900,930,930,472,100.0,50.752688172043015
3001,983,659,471,67.03967446592065,47.91454730417091
3002,1980,1868,1736,94.34343434343434,87.67676767676768
3101,1277,1277,1129,100.0,88.4103367267032
3102,1894,1736,1522,91.65786694825766,80.35902851108764
3201,1685,1468,1225,87.12166172106825,72.70029673590504
3202,1627,1504,1504,92.440073755378,92.440073755378
3203,999,886,886,88.68868868868869,88.68868868868869
3301,2383,1993,1530,83.63407469576164,64.20478388585816
3302,1392,1272,1025,91.37931034482759,73.63505747126436
3303,2035,1752,1121,86.0933660933661,55.08599508599509
3401,2836,2709,2373,95.52186177715092,83.67418899858956
3402,1230,1043,993,84.79674796747967,80.73170731707317
3500,3638,2846,2234,78.22979659153381,61.40736668499175
3600,808,719,719,88.98514851485149,88.98514851485149
3701,2133,2133,1988,100.0,93.202062822316
3702,1920,1920,1560,100.0,81.25
3801,1061,906,707,85.39114043355325,66.63524976437323
3802,663,663,663,100.0,100.0
3901,1770,1679,1617,94.85875706214689,91.35593220338983
3902,1373,1174,1174,85.50619082301529,85.50619082301529
3903,1711,1455,1331,85.03798947983636,77.79076563413209
3904,448,448,374,100.0,83.48214285714286
4001,309,309,309,100.0,100.0
4002,737,653,557,88.60244233378562,75.57666214382633
4003,1093,942,693,86.18481244281794,63.403476669716376
4004,937,937,937,100.0,100.0
4005,709,709,617,100.0,87.02397743300423
4006,169,169,169,100.0,100.0
4101,879,737,737,83.8452787258248,83.8452787258248
4102,1476,1476,1170,100.0,79.26829268292683
4103,2780,2486,2029,89.42446043165468,72.98561151079137
4104,5765,5571,4028,96.63486556808326,69.86990459670425
4105,6719,4403,3159,65.53058490846853,47.015924988837625
4106,2054,2054,2054,100.0,100.0
4107,3486,2442,1206,70.05163511187608,34.59552495697074
4108,4050,3586,1961,88.5432098765432,48.41975308641975
4109,1569,1288,1221,82.09050350541747,77.82026768642447
4110,5881,5234,2555,88.99846964801904,43.4449923482401
4111,3721,3654,2623,98.19940876108572,70.49180327868852
4201,1068,1068,991,100.0,92.79026217228464
4202,2035,1849,1849,90.85995085995086,90.85995085995086
4203,2104,2104,1635,100.0,77.70912547528516
4204,428,428,428,100.0,100.0
4301,1022,1022,898,100.0,87.866927592955
4302,938,938,938,100.0,100.0
4303,1047,955,836,91.21298949379178,79.84718242597899
