PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,1362,1278,1183,93.83259911894272,86.8575624082232
200,3639,3489,2408,95.87798845836768,66.17202528167078
300,2975,2772,1789,93.17647058823529,60.13445378151261
400,1677,1485,1148,88.5509838998211,68.45557543231962
500,1977,1707,1152,86.34294385432474,58.2701062215478
600,3470,3275,2439,94.38040345821325,70.28818443804035
700,2135,2060,2060,96.4871194379391,96.4871194379391
801,1974,1808,1211,91.59067882472138,61.347517730496456
802,2275,2053,1501,90.24175824175825,65.97802197802199
901,2684,2684,1814,100.0,67.58569299552906
902,1947,1781,1150,91.47406266050334,59.06522855675398
903,2479,2287,1878,92.25494150867284,75.75635336829367
1000,2151,1993,1322,92.65457926545793,61.45978614597861
1100,1900,1671,1297,87.94736842105263,68.26315789473684
1200,3109,2813,2228,90.47925377935027,71.66291412029592
1300,1937,1584,1358,81.77594217862674,70.10841507485803
1400,3532,2535,1278,71.77236693091733,36.18346545866365
1500,1773,1459,1188,82.28990411731529,67.00507614213198
1600,1517,1374,960,90.57350032959789,63.282794990112066
1701,2222,2136,1975,96.12961296129613,88.88388838883888
1702,1322,1322,844,100.0,63.842662632375195
1703,2224,2150,1967,96.67266187050359,88.44424460431655
1801,1293,1293,1138,100.0,88.0123743232792
1802,980,980,902,100.0,92.04081632653062
1803,991,991,883,100.0,89.10191725529768
1804,2287,2197,1977,96.06471359860078,86.44512461740271
1805,1036,1036,956,100.0,92.27799227799228
1806,2229,2135,2135,95.78286227007627,95.78286227007627
1807,2035,1713,1214,84.17690417690417,59.65601965601965
1900,2791,2187,1848,78.35901110713006,66.21282694374776
2001,3015,2686,2173,89.08789386401327,72.07296849087894
2002,3066,2995,2492,97.68427919112851,81.27853881278538
2101,558,558,558,100.0,100.0
2102,2665,2251,1146,84.46529080675423,43.00187617260788
2103,1776,1618,1285,91.1036036036036,72.3536036036036
2201,2289,1999,1435,87.33071210135431,62.69113149847095
2202,1955,1717,913,87.82608695652175,46.70076726342711
2300,4156,3321,1789,79.90856592877768,43.04619826756497
2400,3479,2104,1001,60.477148605921236,28.772635814889334
2501,2646,2327,1339,87.9440665154951,50.604686318972036
2502,3564,1767,1025,49.57912457912458,28.759820426487092
2600,2528,1605,760,63.48892405063291,30.063291139240505
2700,3303,2815,2070,85.22555252800484,62.67029972752044
2801,843,746,518,88.49347568208779,61.44721233689205
2802,1870,1604,949,85.77540106951872,50.74866310160427
2900,1210,1156,949,95.53719008264463,78.4297520661157
3001,754,648,648,85.94164456233422,85.94164456233422
3002,836,836,748,100.0,89.47368421052632
3101,763,763,655,100.0,85.84534731323721
3102,1343,1229,891,91.51154132539091,66.3440059568131
3201,1256,1256,1071,100.0,85.27070063694268
3202,1276,1108,902,86.83385579937304,70.6896551724138
3203,1253,1253,998,100.0,79.6488427773344
3301,1335,1160,781,86.89138576779027,58.50187265917604
3302,1056,1056,967,100.0,91.5719696969697
3303,737,655,464,88.87381275440977,62.95793758480326
3401,2394,2226,1550,92.98245614035088,64.74519632414369
3402,1223,1223,1201,100.0,98.2011447260834
3500,3630,3157,2480,86.96969696969697,68.31955922865014
3600,708,708,497,100.0,70.19774011299435
3701,1291,983,880,76.1425251742835,68.16421378776143
3702,1286,1286,820,100.0,63.76360808709176
3801,421,322,322,76.48456057007125,76.48456057007125
3802,641,641,641,100.0,100.0
3901,2235,1970,1852,88.14317673378076,82.86353467561521
3902,884,884,884,100.0,100.0
3903,1086,1086,1086,100.0,100.0
3904,2170,2170,1440,100.0,66.3594470046083
4001,805,805,805,100.0,100.0
4002,722,722,722,100.0,100.0
4003,824,824,732,100.0,88.83495145631069
4004,1598,1598,1598,100.0,100.0
4005,477,477,477,100.0,100.0
4006,931,931,847,100.0,90.97744360902256
4101,1647,1647,1522,100.0,92.41044323011536
4102,3084,2869,2262,93.02853437094683,73.34630350194551
4103,957,957,694,100.0,72.51828631138976
4104,5157,4921,4475,95.42369594725616,86.775256932325
4105,6870,5976,3842,86.98689956331877,55.924308588064044
4106,3084,3084,2470,100.0,80.09079118028535
4107,3197,2580,1540,80.7006568658117,48.170159524554265
4108,4199,3519,3157,83.80566801619433,75.18456775422719
4109,1191,935,935,78.50545759865659,78.50545759865659
4110,3978,3864,2125,97.1342383107089,53.41880341880342
4111,5131,4559,3521,88.85207561878777,68.62210095497954
4201,1110,1110,1110,100.0,100.0
4202,2324,2234,2032,96.12736660929431,87.4354561101549
4203,2778,2508,1921,90.28077753779698,69.150467962563
4204,821,821,821,100.0,100.0
4301,796,686,686,86.18090452261306,86.18090452261306
4302,1350,1350,1261,100.0,93.4074074074074
4303,1296,1231,931,94.98456790123457,71.83641975308642
