year,countycode,party,cand,votes,FIPS,,,,,,
2012,1,GRN,STEIN,5,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,9,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,0,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,GRN,STEIN,5,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,8,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,5,1,,,,,,
2012,1,GRN,STEIN,2,1,,,,,,
2012,1,GRN,STEIN,0,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,GRN,STEIN,4,1,,,,,,
2012,1,GRN,STEIN,5,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,GRN,STEIN,3,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,6,1,,,,,,
2012,1,GRN,STEIN,1,1,,,,,,
2012,1,LIB,JOHNSON,4,1,,,,,,
2012,1,LIB,JOHNSON,2,1,,,,,,
2012,1,LIB,JOHNSON,1,1,,,,,,
2012,1,LIB,JOHNSON,13,1,,,,,,
2012,1,LIB,JOHNSON,4,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,14,1,,,,,,
2012,1,LIB,JOHNSON,12,1,,,,,,
2012,1,LIB,JOHNSON,19,1,,,,,,
2012,1,LIB,JOHNSON,17,1,,,,,,
2012,1,LIB,JOHNSON,14,1,,,,,,
2012,1,LIB,JOHNSON,4,1,,,,,,
2012,1,LIB,JOHNSON,7,1,,,,,,
2012,1,LIB,JOHNSON,12,1,,,,,,
2012,1,LIB,JOHNSON,5,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,5,1,,,,,,
2012,1,LIB,JOHNSON,11,1,,,,,,
2012,1,LIB,JOHNSON,21,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,11,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,12,1,,,,,,
2012,1,LIB,JOHNSON,8,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,2,1,,,,,,
2012,1,LIB,JOHNSON,15,1,,,,,,
2012,1,LIB,JOHNSON,15,1,,,,,,
2012,1,LIB,JOHNSON,7,1,,,,,,
2012,1,LIB,JOHNSON,11,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,11,1,,,,,,
2012,1,LIB,JOHNSON,4,1,,,,,,
2012,1,LIB,JOHNSON,12,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,8,1,,,,,,
2012,1,LIB,JOHNSON,8,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,2,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,10,1,,,,,,
2012,1,LIB,JOHNSON,13,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,9,1,,,,,,
2012,1,LIB,JOHNSON,7,1,,,,,,
2012,1,LIB,JOHNSON,6,1,,,,,,
2012,1,LIB,JOHNSON,15,1,,,,,,
2012,1,LIB,JOHNSON,2,1,,,,,,
2012,1,OTH,WRITE-IN,0,1,,,,,,
2012,1,OTH,WRITE-IN,0,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,5,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,7,1,,,,,,
2012,1,OTH,WRITE-IN,8,1,,,,,,
2012,1,OTH,WRITE-IN,9,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,7,1,,,,,,
2012,1,OTH,WRITE-IN,0,1,,,,,,
2012,1,OTH,WRITE-IN,5,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,7,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,8,1,,,,,,
2012,1,OTH,WRITE-IN,4,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,5,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,5,1,,,,,,
2012,1,OTH,WRITE-IN,4,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,5,1,,,,,,
2012,1,OTH,WRITE-IN,1,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,4,1,,,,,,
2012,1,OTH,WRITE-IN,2,1,,,,,,
2012,1,OTH,WRITE-IN,4,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,6,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,9,1,,,,,,
2012,1,OTH,WRITE-IN,4,1,,,,,,
2012,1,OTH,WRITE-IN,3,1,,,,,,
2012,1,OTH,WRITE-IN,0,1,,,,,,
2012,2,REP,ROMNEY,585,3,,,,,,
2012,2,REP,ROMNEY,259,3,,,,,,
2012,2,REP,ROMNEY,178,3,,,,,,
2012,2,REP,ROMNEY,267,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,175,3,,,,,,
2012,2,REP,ROMNEY,141,3,,,,,,
2012,2,REP,ROMNEY,95,3,,,,,,
2012,2,REP,ROMNEY,128,3,,,,,,
2012,2,REP,ROMNEY,138,3,,,,,,
2012,2,REP,ROMNEY,284,3,,,,,,
2012,2,REP,ROMNEY,222,3,,,,,,
2012,2,REP,ROMNEY,167,3,,,,,,
2012,2,REP,ROMNEY,309,3,,,,,,
2012,2,REP,ROMNEY,227,3,,,,,,
2012,2,REP,ROMNEY,257,3,,,,,,
2012,2,REP,ROMNEY,243,3,,,,,,
2012,2,REP,ROMNEY,271,3,,,,,,
