PUMA,WGTP,WGTPpov,PCTpov
100,19435,8528,43.87959866220736
200,13939,3174,22.770643518186382
300,12698,4195,33.03669869270751
400,7770,2063,26.55083655083655
500,7961,2389,30.008792865217938
600,10358,2843,27.447383664800157
700,9290,2525,27.179763186221745
801,18307,3748,20.473043098268423
802,9587,1751,18.264316261604254
901,16799,6505,38.72254300851241
902,9362,2370,25.315103610339673
903,16856,3786,22.460844803037496
1000,13405,4166,31.077955986572174
1100,11276,1982,17.577155019510464
1200,15920,3807,23.91331658291457
1300,21814,7091,32.50664710736225
1400,9989,3929,39.33326659325258
1500,7514,2975,39.59276018099548
1600,10454,2757,26.3726803137555
1701,20796,7038,33.843046739757646
1702,22933,7069,30.82457593860376
1703,17471,4964,28.412798351554002
1801,12471,2345,18.803624408628018
1802,13787,2825,20.490316965257126
1803,14331,1443,10.069081013188192
1804,24772,5924,23.914096560632974
1805,14356,1581,11.012816940651993
1806,7764,1090,14.03915507470376
1807,15796,5309,33.60977462648772
1900,15154,3111,20.529233205754256
2001,8333,2873,34.477379095163805
2002,17339,6278,36.207393736663015
2101,9628,3349,34.78396343996676
2102,15258,2475,16.220998820290994
2103,10291,3382,32.86366728209115
2201,10951,2108,19.249383617934434
2202,8832,3469,39.2776268115942
2300,12645,4750,37.56425464610518
2400,13371,5068,37.902924239024756
2501,11771,3526,29.954974088862457
2502,7275,2261,31.07903780068729
2600,13110,3793,28.932112890922962
2700,8084,3050,37.72884710539337
2801,10786,1576,14.611533469312072
2802,9741,2314,23.75526126681039
2900,13967,1810,12.959117920813345
3001,23664,8908,37.64367816091954
3002,12112,2748,22.688243064729193
3101,14021,2633,18.778974395549533
3102,11497,2322,20.196573019048447
3201,7144,1314,18.393057110862262
3202,14615,2592,17.73520355798837
3203,13162,3997,30.36772526971585
3301,25546,6958,27.237140843967744
3302,15923,3224,20.247440808892797
3303,13473,2114,15.69064054033994
3401,28394,9562,33.6761287595971
3402,13008,2075,15.95172201722017
3500,12027,3308,27.50478090962002
3600,23531,7321,31.112149929879735
3701,14837,2397,16.155557053312663
3702,7628,2489,32.62978500262192
3801,15523,5242,33.7692456355086
3802,9909,995,10.04137652639015
3901,13034,1178,9.037900874635568
3902,7177,1286,17.918350285634666
3903,9643,876,9.084309862076118
3904,14288,1482,10.372340425531915
4001,8925,1293,14.487394957983193
4002,14445,1463,10.128071997230876
4003,13457,1284,9.541502563721483
4004,17067,2683,15.720396086013947
4005,11269,1888,16.75392670157068
4006,12102,1052,8.692778053214345
4101,17409,3227,18.536389223964616
4102,16023,4959,30.949260438120202
4103,16333,6938,42.47841792689647
4104,20376,6262,30.732234000785237
4105,23141,11719,50.64171816256861
4106,21845,5100,23.346303501945524
4107,22800,12106,53.09649122807018
4108,23005,11387,49.497935231471416
4109,38056,5360,14.084507042253522
4110,16109,4391,27.258054503693586
4111,27707,11661,42.0868372613419
4201,9221,783,8.49148682355493
4202,17968,3304,18.388245770258237
4203,17512,4146,23.675194152581085
4204,9677,365,3.7718301126382143
4301,12419,404,3.253079958128674
4302,15948,2166,13.581640331075997
4303,12742,2277,17.870036101083034
