PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
101,21012,5315,2439,25.29506948410432,11.607652769845803
102,39493,6974,2574,17.65882561466589,6.517610715823058
200,34622,6182,2636,17.85569868869505,7.61365605684247
300,47899,9218,3474,19.24466064009687,7.252761017975323
400,28314,6700,2819,23.6632054813873,9.956205410750865
500,38825,9945,4445,25.614938828074695,11.448808757244045
600,35949,14597,6860,40.60474561183899,19.082589223622353
701,21181,6764,2802,31.934280723289742,13.228837165384071
702,31610,8723,4251,27.595697564062004,13.448275862068964
801,31309,7672,3868,24.504136190871634,12.354275128557283
802,26815,6324,3042,23.583815028901732,11.344396792839827
803,30423,8733,2972,28.705255891923876,9.768924826611446
900,36367,8811,3867,24.2280089091759,10.633266422855886
1000,30421,6728,2869,22.1163012392755,9.430985174714836
1100,34455,7600,2395,22.05775649397765,6.951095631983748
1200,23648,4800,1551,20.29769959404601,6.558694181326116
1300,39513,6356,1496,16.085845164882443,3.7860957153341936
1400,28949,5690,1690,19.65525579467339,5.837852775570831
1501,26948,5572,2089,20.676859136113997,7.751966750779278
1502,39890,8404,3685,21.06793682627225,9.23790423665079
1600,46590,7349,2798,15.773771195535522,6.0055805966945695
1701,23452,6633,2912,28.28330206378987,12.416851441241686
1702,24917,6364,3489,25.54079544086367,14.002488261026608
1801,24098,4497,2953,18.661299692920576,12.254128973358785
1802,33991,8961,5051,26.362860757259277,14.859815833603014
1803,29322,7003,3446,23.88309119432508,11.752267921697019
1804,42191,9036,3000,21.416889858026593,7.110521201204048
1805,28970,4999,1774,17.255781843286158,6.123576113220573
1806,27585,4897,1959,17.752401667572958,7.10168569874932
1807,25367,5254,1009,20.71194859463082,3.9776087042220207
1900,38145,9265,4137,24.288897627474114,10.845458120330319
2001,24837,5098,1854,20.525828401175666,7.464669646092522
2002,39624,10126,4645,25.555219059156066,11.722693317181507
2003,31053,5058,1890,16.2882813254758,6.0863684668148
2100,37372,7600,3050,20.33608048806593,8.161190195868565
2200,45225,7705,3666,17.037037037037038,8.106135986733001
2301,32113,7319,2480,22.791392893843614,7.722729112820353
2302,34295,8253,2766,24.064732468289836,8.065315643679837
2401,29189,7260,1881,24.872383432114837,6.4442084346843
2402,27805,7055,2429,25.37313432835821,8.735838877899658
2500,30050,6901,3378,22.965058236272878,11.24126455906822
2600,38183,8829,3333,23.12285572113244,8.729015530471676
2701,29349,8399,3142,28.617670108010497,10.705645848240145
2702,23289,8306,3172,35.66490617888273,13.620164025934992
2703,36720,11225,4305,30.56917211328976,11.723856209150327
2801,30601,10173,3831,33.244011633606746,12.51919871899611
2802,34252,9348,2679,27.291836973023475,7.821441083732336
2803,15044,6532,2073,43.4193033767615,13.779579898963043
2901,30790,9404,3603,30.54238389087366,11.701851250405976
2902,36743,11701,3895,31.84552159595025,10.600658628854475
3001,29762,10354,5395,34.789328674148244,18.12714199314562
3002,22806,9233,4132,40.484960098219766,18.11803911251425
3003,32370,11899,5559,36.75934507259808,17.173308619091753
3004,35784,15586,6962,43.555779119159396,19.45562262463671
3101,28527,9860,3640,34.563746626003436,12.759841553615873
3102,22961,8029,3391,34.96798919907669,14.768520534819912
3103,19514,8889,3407,45.55191144819104,17.459260018448294
3104,17341,6669,3107,38.45798973530938,17.91707513984199
3105,20527,6877,3327,33.50221659278024,16.207921274419057
3106,28679,13021,5449,45.40255936399456,18.999965131280728
3201,29952,10526,5310,35.1428952991453,17.728365384615387
3202,23627,8685,2913,36.758792906420624,12.329114995555932
3203,24549,6465,1845,26.33508493217646,7.515581082732495
3204,32289,12943,7371,40.08485862058286,22.828207748768932
3205,26929,8022,3936,29.789446321809205,14.616213004567566
3206,20496,5953,3207,29.04469164715066,15.64695550351288
3207,14946,5195,2482,34.75846380302422,16.606449886257195
3208,18664,6608,3157,35.40505786540935,16.91491641663095
3209,11941,5892,3129,49.34260112218407,26.203835524662928
3210,18611,6092,3532,32.73332975122239,18.97802374939552
3211,23131,7354,4035,31.792832130041937,17.444122606026543
3301,22770,8526,4653,37.44400527009223,20.434782608695652
3302,29154,9927,4245,34.05021609384647,14.560609178843384
3303,27756,8776,3606,31.6183888168324,12.991785559878947
3304,23336,9112,3097,39.0469660610216,13.271340418237914
3401,17013,5945,1975,34.94386645506378,11.60876976429789
3402,20826,6580,2903,31.595121482761932,13.93930663593585
3403,28834,9316,3587,32.30907955885413,12.44017479364639
3404,20215,8753,3214,43.29953005194162,15.89908483799159
3501,21103,6845,2395,32.43614651945221,11.349097284746245
3502,25458,6327,2610,24.85269856233797,10.252180061277398
3503,35710,10839,5011,30.352842341080933,14.032483898067769
3504,25294,6732,3148,26.615007511662846,12.445639282043173
3601,32292,8587,2282,26.59172550476898,7.066765762417937
3602,33429,7533,1782,22.53432648299381,5.330700888450148
3603,37034,9953,3280,26.875303774909543,8.856726251552626
3701,31600,9554,2477,30.234177215189874,7.8386075949367084
3702,30920,6714,2097,21.71410090556274,6.7820181112548505
3800,37508,8411,2880,22.42454942945505,7.6783619494507835
3900,35282,7662,2442,21.716455983220907,6.921376339209795
4001,33842,7635,2664,22.560723361503456,7.871875184681756
4002,24411,5993,2341,24.550407603129738,9.589938961943387
