PUMA,WGTP,WGTPmid,PCTmid
100,21906,20981,95.77741258102803
200,53090,47631,89.71746091542664
300,39689,37658,94.88271309430824
400,30431,29520,97.00634221681838
500,32564,31283,96.06620808254515
600,47264,44122,93.35223425863236
700,39562,35642,90.0915019463121
801,24948,23894,95.7752124418791
802,40440,36391,89.98763600395648
901,25354,23782,93.79979490415712
902,34697,31302,90.21529238839092
903,50387,47088,93.45267628554984
1000,33616,31170,92.72370299857211
1100,34088,32455,95.20945787373856
1200,52205,49619,95.04645148932094
1300,29790,26779,89.89258140315542
1400,39492,37249,94.32036868226477
1500,30566,28827,94.31067198848395
1600,35638,33213,93.19546551433862
1701,17062,15580,91.31403118040089
1702,20946,16243,77.54702568509501
1703,31465,29487,93.71365008739869
1801,47588,37448,78.69210725392956
1802,30908,27914,90.31318752426556
1803,40080,33866,84.49600798403193
1804,53941,48484,89.88339111251182
1805,33233,29315,88.21051364607469
1806,34550,29328,84.88567293777135
1807,41500,39365,94.855421686747
1900,55536,51090,91.99438202247191
2001,35520,33746,95.00563063063063
2002,49434,46409,93.88072986203827
2101,34517,31559,91.43030970246545
2102,48594,44367,91.3013952339795
2103,36579,34306,93.78605210639984
2201,46753,42192,90.24447629029153
2202,31886,28385,89.02025967509252
2300,40530,39448,97.33037256353319
2400,46627,44308,95.02648679949385
2501,40067,36598,91.34200214640478
2502,30247,29346,97.02119218434886
2600,37238,35495,95.31929749180944
2700,33033,31500,95.35918626827717
2801,34279,32471,94.72563376994661
2802,31360,29193,93.08992346938776
2900,34678,31929,92.07278389757195
3001,33074,29412,88.92785874100501
3002,37969,33293,87.68469014195792
3101,40738,32990,80.98090235161276
3102,37445,34820,92.98971825343838
3201,37198,34420,92.5318565514275
3202,54276,50821,93.63438720613162
3203,28275,25968,91.84084880636605
3301,41554,36170,87.04336525966212
3302,41133,36805,89.4780346680281
3303,43691,40446,92.5728410885537
3401,52118,46052,88.36102690049503
3402,56991,51096,89.65626151497604
3500,44908,42625,94.91627326979602
3600,21817,19660,90.11321446578357
3701,50345,43400,86.20518422882112
3702,36064,31922,88.51486246672582
3801,30108,27695,91.98551879899031
3802,50401,43765,86.83359457153628
3901,61866,48755,78.80742249377687
3902,46214,35193,76.15224823646514
3903,37072,29311,79.06506258092361
3904,31131,29140,93.60444572933731
4001,32454,24366,75.07857274912183
4002,44367,35408,79.80706380868664
4003,47855,38930,81.34991119005328
4004,30637,23055,75.25214609785553
4005,31841,25365,79.6614427938821
4006,30832,18131,58.805786196159836
4101,37540,33358,88.85988279168886
4102,33485,31072,92.79378826340152
4103,25356,24348,96.02460955986749
4104,34719,33435,96.30173680117515
4105,33503,32450,96.85699788078679
4106,30663,23734,77.40273293545967
4107,18524,18088,97.64629669617794
4108,25416,23638,93.00440667296192
4109,24606,16047,65.21580102414045
4110,29142,26665,91.50024020314324
4111,25314,24184,95.53606699849885
4201,36500,25113,68.8027397260274
4202,41087,35763,87.04213011414804
4203,34886,31484,90.24823711517514
4204,31530,24547,77.85283856644466
4301,44410,31056,69.93019590182391
4302,49835,34849,69.92876492425002
4303,37879,29902,78.94083793130758
