PUMA,WGTP,WGTPmid,PCTmid
101,20118,18585,92.37995824634656
102,17008,15644,91.98024459078081
200,12197,11688,95.82684266622941
300,15668,14926,95.2642328312484
400,9454,9070,95.9382272054157
500,10176,9402,92.39386792452831
600,11194,10556,94.30051813471503
701,16379,15903,97.0938396727517
702,10606,9631,90.80709032623044
801,13828,13074,94.54729534278276
802,16473,15951,96.83117829175015
803,14095,13563,96.22561191912025
900,16063,15844,98.63661831538317
1000,10866,9762,89.8398674765323
1100,16077,15472,96.23686011071717
1200,23012,21391,92.95584912219711
1300,13162,12775,97.05971736818113
1400,8721,8082,92.67285861713106
1501,10008,9564,95.56354916067147
1502,14924,14019,93.9359421066738
1600,14691,13493,91.84534749166157
1701,48488,41771,86.14708793928395
1702,18110,16371,90.3975704030922
1801,14285,12080,84.56422821141058
1802,11386,10167,89.29386966450026
1803,16226,14372,88.57389375077037
1804,27066,25444,94.00724155767384
1805,15214,14346,94.2947285395031
1806,17168,15279,88.99697110904008
1807,10831,10009,92.41067306804543
1900,14565,13624,93.53930655681428
2001,8318,7941,95.46766049531136
2002,15040,14471,96.21675531914894
2003,7130,6989,98.02244039270688
2100,13349,13006,97.43051914001049
2200,16762,15299,91.27192459133755
2301,14366,13633,94.89767506612836
2302,16945,14677,86.61552080259663
2401,28160,26919,95.59303977272727
2402,10089,9471,93.87451680047576
2500,16750,16144,96.38208955223881
2600,11854,11385,96.04352961025813
2701,9372,8818,94.08877507469057
2702,21486,20599,95.87173042911662
2703,8666,8234,95.01500115393492
2801,10008,8933,89.2585931254996
2802,13797,12731,92.27368268464159
2803,23429,22828,97.43480302189595
2901,22199,20120,90.63471327537277
2902,11143,10209,91.61805617876693
3001,9461,7201,76.11246168481132
3002,10091,9257,91.73520959270637
3003,14656,11531,78.67767467248909
3004,18516,15879,85.75826312378484
3101,10716,9944,92.79581933557297
3102,12678,11214,88.45243729294842
3103,14605,10402,71.22218418349881
3104,14416,12339,85.592397336293
3105,11554,9926,85.90964168253419
3106,14415,11746,81.48456468955949
3201,19170,18476,96.37976004173187
3202,22038,20379,92.47209365641166
3203,19446,17836,91.72066234701224
3204,20528,19478,94.8850350740452
3205,22463,22007,97.96999510305837
3206,25353,22041,86.93645722399717
3207,20681,19721,95.35805812098062
3208,25605,25207,98.4456160906073
3209,39372,24257,61.609773443055985
3210,27193,25842,95.031809656897
3211,17827,16109,90.36293263027991
3301,8603,6355,73.86958037893758
3302,20600,19188,93.14563106796116
3303,18030,17567,97.43205768164171
3304,7376,5192,70.39045553145337
3401,8886,6351,71.47197839297772
3402,12701,9213,72.53759546492402
3403,12868,11354,88.23437985700964
3404,8338,7898,94.72295514511873
3501,19045,17992,94.47098976109216
3502,13365,11741,87.84885895997007
3503,13368,12729,95.21992818671454
3504,12185,11278,92.55642183011899
3601,22875,22441,98.10273224043716
3602,9053,8473,93.59328399425605
3603,9844,8543,86.78382771231206
3701,9861,9597,97.32278673562519
3702,12733,12027,94.4553522343517
3800,11222,11127,99.15344858314026
3900,13553,13337,98.40625691728768
4001,11311,10353,91.53036866766864
4002,9383,9138,97.38889480976233
