id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200100,100,18806,10859,6818,57.74220993,36.2543869
79500US4200200,200,13098,6265,2983,47.83173004,22.77446938
79500US4200300,300,12046,5876,2697,48.7796779,22.38917483
79500US4200400,400,7709,3408,1647,44.20806849,21.36463873
79500US4200500,500,7694,3409,1264,44.3072524,16.42838576
79500US4200600,600,9961,4706,2718,47.24425259,27.28641703
79500US4200700,700,8527,4597,3222,53.9111059,37.78585669
79500US4200801,801,17380,7138,3913,41.07019563,22.51438435
79500US4200802,802,8796,3523,838,40.0522965,9.527057754
79500US4200901,901,16430,9764,4948,59.42787584,30.11564212
79500US4200902,902,9057,4000,2720,44.16473446,30.03201943
79500US4200903,903,16341,7625,2109,46.66177101,12.90618689
79500US4201000,1000,13083,5907,3121,45.15019491,23.85538485
79500US4201100,1100,10979,4800,1703,43.71982876,15.51143091
79500US4201200,1200,15347,7016,3623,45.71577507,23.60721965
79500US4201300,1300,19917,12464,8697,62.57970578,43.66621479
79500US4201400,1400,9877,4995,2892,50.57203604,29.28014579
79500US4201500,1500,7320,3739,1924,51.07923497,26.28415301
79500US4201600,1600,9857,4614,1916,46.80937405,19.43796287
79500US4201701,1701,19399,10813,6536,55.7399866,33.69245837
79500US4201702,1702,20393,11372,6095,55.76423282,29.88770657
79500US4201703,1703,16124,8247,4614,51.14735798,28.61572811
79500US4201801,1801,11180,6189,2839,55.35778175,25.39355993
79500US4201802,1802,12104,7031,3376,58.08823529,27.89160608
79500US4201803,1803,12923,5788,1652,44.78836184,12.78340943
79500US4201804,1804,23016,10585,5170,45.98974626,22.46263469
79500US4201805,1805,12736,5202,2629,40.84484925,20.64227387
79500US4201806,1806,6834,3899,1775,57.05297044,25.9730758
79500US4201807,1807,15543,8009,3774,51.52801904,24.28102683
79500US4201900,1900,13924,6995,3678,50.23700086,26.41482333
79500US4202001,2001,8218,4822,2227,58.6760769,27.09905086
79500US4202002,2002,16626,7274,4298,43.75075183,25.85107663
79500US4202101,2101,9373,4244,2833,45.27899285,30.22511469
79500US4202102,2102,14574,6169,3553,42.32880472,24.37903115
79500US4202103,2103,9767,3857,2903,39.49011979,29.72253507
79500US4202201,2201,10427,4434,2056,42.52421598,19.7180397
79500US4202202,2202,8288,4095,2596,49.40878378,31.32239382
79500US4202300,2300,12234,5863,2973,47.92381887,24.301128
79500US4202400,2400,12941,4982,3419,38.4977977,26.41990573
79500US4202501,2501,11656,5912,2488,50.72065889,21.34522992
79500US4202502,2502,6783,3193,1102,47.07356627,16.2464986
79500US4202600,2600,12740,5496,3322,43.13971743,26.07535322
79500US4202700,2700,8067,4098,2071,50.79955374,25.67249287
79500US4202801,2801,9938,4779,2017,48.08814651,20.29583417
79500US4202802,2802,9599,4353,2601,45.3484738,27.09657256
79500US4202900,2900,13498,7213,2801,53.4375463,20.7512224
79500US4203001,3001,21752,12147,6673,55.84314086,30.67763884
79500US4203002,3002,10490,3447,2895,32.85986654,27.59771211
79500US4203101,3101,12657,5635,3975,44.52081852,31.40554634
79500US4203102,3102,10330,5130,2082,49.66118103,20.15488867
79500US4203201,3201,6895,3532,1992,51.22552574,28.89050036
79500US4203202,3202,13064,6746,3425,51.63808941,26.21708512
79500US4203203,3203,12447,7275,3855,58.44781875,30.97131839
79500US4203301,3301,23967,14287,8750,59.61113197,36.50853257
79500US4203302,3302,15309,7706,3926,50.33640342,25.6450454
79500US4203303,3303,12862,4924,2289,38.28331519,17.79661017
79500US4203401,3401,27145,17222,9926,63.44446491,36.56658685
79500US4203402,3402,12223,5328,3013,43.58995337,24.65024953
79500US4203500,3500,11867,6986,2020,58.86913289,17.02199376
79500US4203600,3600,23078,14621,7865,63.35471011,34.08007626
79500US4203701,3701,13487,6657,2614,49.35864165,19.38162675
79500US4203702,3702,7239,3832,2674,52.93548833,36.9388037
