hhd_size	pov_15	pov_14	pov_13	pov_12	pov_11	pov_10	pov_09	pov_08	pov_07	pov_06	pov_05	pov_04	pov_03	pov_02	pov_01	pov_00
1	11770	11670	11490	11170	10890	10830	10830	10400	10210	9800	9570	9310	8980	8860	8590	8350
2	15930	15730	15510	15130	" 14,710"	14570	14570	14000	13690	13200	12830	12490	12120	11940	11610	11250
3	20090	19790	19530	19090	" 18,530"	18310	18310	17600	17170	16600	16090	15670	15260	15020	14630	14150
4	24250	23850	23550	23050	" 22,350"	22050	22050	21200	20650	20000	19350	18850	18400	18100	17650	17050
5	28410	27910	27570	27010	" 26,170"	25790	25790	24800	24130	23400	22610	22030	21540	21180	20670	19950
6	32570	31970	31590	30970	" 29,990"	29530	29530	28400	27610	26800	25870	25210	24680	24260	23690	22850
7	36730	36030	35610	34930	" 33,810"	33270	33270	32000	31090	30200	29130	28390	27820	27340	26710	25750
8	40890	40090	39630	38890	" 37,630"	37010	37010	35600	34570	33600	32390	31570	30960	30420	29730	28650
