101,50.0
102,36.75
200,46.25
300,40.0
400,42.0
500,48.0
600,54.5
701,49.0
702,49.75
801,48.0
802,51.0
803,39.0
900,42.25
1000,36.5
1100,38.0
1200,66.0
1300,41.0
1400,40.0
1501,46.0
1502,40.5
1600,41.0
1701,61.75
1702,43.0
1801,43.5
1802,41.0
1803,38.0
1804,42.0
1805,48.5
1806,43.0
1807,51.5
1900,38.0
2001,39.0
2002,42.0
2003,47.0
2100,50.0
2200,42.5
2301,46.0
2302,37.0
2401,52.75
2402,36.0
2500,45.75
2600,40.0
2701,43.5
2702,54.75
2703,41.5
2801,37.0
2802,42.0
2803,60.25
2901,49.0
2902,38.0
3001,40.0
3002,54.0
3003,40.75
3004,44.0
3101,66.25
3102,48.5
3103,36.0
3104,62.5
3105,45.25
3106,41.5
3201,47.5
3202,58.0
3203,63.5
3204,77.5
3205,65.5
3206,59.75
3207,64.75
3208,66.5
3209,37.0
3210,70.75
3211,52.0
3301,63.0
3302,49.75
3303,64.5
3304,52.0
3401,36.0
3402,45.75
3403,44.0
3404,45.25
3501,59.25
3502,45.0
3503,45.75
3504,50.25
3601,57.75
3602,40.0
3603,37.0
3701,36.0
3702,37.0
3800,46.5
3900,57.0
4001,42.0
4002,36.5
