PUMA,WGTP,WGTPpov,PCTpov
100,22112,1362,6.159551374819102
200,53090,3819,7.193445093237898
300,39784,2975,7.477880554996983
400,30502,1734,5.684873123073897
500,32901,2125,6.458770250144373
600,47329,3524,7.445752075894271
700,39935,2985,7.474646300237886
801,24948,2045,8.197049863716531
802,40527,2375,5.860290670417253
901,25693,2684,10.44642509632974
902,34697,2007,5.784361760382742
903,50510,2739,5.422688576519501
1000,33616,2288,6.806282722513089
1100,34101,1900,5.571684114835342
1200,52440,3153,6.012585812356979
1300,29814,2005,6.725028510095927
1400,39520,3638,9.205465587044534
1500,30566,1796,5.87580972322188
1600,35870,1549,4.318371898522442
1701,17277,2222,12.861029113850783
1702,21043,1322,6.282374186190181
1703,31536,2224,7.052257737189244
1801,47588,1293,2.717071530637976
1802,31005,1506,4.8572810836961775
1803,40211,1304,3.242893735545
1804,53941,2522,4.67547876383456
1805,33233,1036,3.117383323804652
1806,34550,2229,6.451519536903039
1807,41500,2213,5.332530120481928
1900,55536,2817,5.07238547968885
2001,35635,3125,8.769468219447173
2002,49589,3579,7.217326423198693
2101,34517,558,1.6165947214416085
2102,48594,2665,5.484216158373462
2103,36579,1776,4.855244812597392
2201,46837,2405,5.134829301620513
2202,31886,2100,6.5859624913755255
2300,40619,4543,11.184421083729289
2400,46754,3674,7.8581511742310814
2501,40232,2890,7.18333664744482
2502,30247,3714,12.278903692928225
2600,37238,2528,6.788764165637253
2700,33115,3915,11.822436962101767
2801,34279,921,2.6867761603313984
2802,31482,1870,5.93990216631726
2900,34678,1534,4.423553838168291
3001,33074,831,2.512547620487392
3002,37969,1131,2.9787458189575706
3101,40823,965,2.36386350831639
3102,37471,1343,3.584105041231886
3201,37366,1316,3.521918321468715
3202,54460,1339,2.4586852735952993
3203,28275,1415,5.0044208664898315
3301,42109,1423,3.3793250848987153
3302,41133,1056,2.56728174458464
3303,43775,838,1.9143346659051972
3401,52118,3058,5.867454622203462
3402,57019,1397,2.4500605061470737
3500,44908,3988,8.880377660995814
3600,21817,708,3.245175780354769
3701,50345,1291,2.564306286622306
3702,36226,1286,3.5499365096891737
3801,30108,421,1.3982994552942738
3802,50623,695,1.3728937439503783
3901,61866,2422,3.9149128762163388
3902,46214,1330,2.8779157830960314
3903,37072,1786,4.817652136383254
3904,31131,2482,7.972760271112396
4001,32726,805,2.459817881806515
4002,44429,1136,2.5568885187602692
4003,47943,824,1.7187076319796424
4004,30637,1682,5.490093677579398
4005,31841,477,1.4980685279984924
4006,30832,1032,3.3471717695900365
4101,37540,2074,5.524773574853489
4102,33548,3284,9.78895910337427
4103,25501,1131,4.435120191365045
4104,34719,5157,14.853538408364297
4105,33742,7167,21.24059036215992
4106,30663,3420,11.153507484590548
4107,18524,3586,19.358669833729216
4108,25696,5044,19.629514321295144
4109,24606,1322,5.3726733317077136
4110,29142,4381,15.033285292704686
4111,25423,5735,22.5583133383157
4201,36500,1110,3.0410958904109586
4202,41190,2777,6.7419276523428024
4203,34886,2778,7.96307974545663
4204,31530,907,2.8766254360926102
4301,44818,889,1.9835780266857066
4302,49966,1595,3.1921706760597206
4303,38038,1398,3.6752720963247274
